环指僵硬,无名指僵硬
鼻咽肿物,鼻咽部肿物
鼻翼瘙痒,鼻翼痒
颈发热,颈部发热
颈部及双肩麻木,颈肩部麻木
脸红,脸部潮红
乳头流血,乳头出血
双手指脱皮,手指脱皮
双手指脱屑,手指脱屑
双手指胀痛,手指胀痛
双耳胀痛,双耳闷痛
骶胀痛,腰骶部胀痛
骶部肿物,腰骶部肿物
右鼻腔渗血,右鼻腔出血
右耳胀痛,右耳肿痛
右侧耳肿胀,右耳肿胀
右臀红肿,右臀部红肿
右侧小腿不适感,右小腿不适感
右侧小腿肿痛,右小腿肿痛
右眼黑蒙,右眼黑矇
右足背疼痛,右足背痛
右侧足背疼痛,右足背痛
趾间关节肿胀,足趾关节肿胀
脚趾静息痛,足趾静息痛
趾肿痛,足趾肿痛
左大腿肿胀,左侧大腿肿胀
左耳后肿物,左侧耳后肿物
左侧大腿麻木,左大腿麻木
左膝肿痛,左膝关节肿痛
后背部刺痛,背部刺痛
背部针刺痛,背部刺痛
后背部针刺痛,背部刺痛
背部针扎样痛,背部刺痛
后背刺痛,背部刺痛
鼻痒,鼻部瘙痒
鼻内酸胀,鼻部酸胀
鼻部胀痛,鼻部肿痛
鼻腔粘膜出血,鼻黏膜出血
鼻粘膜出血,鼻黏膜出血
额头疼痛,额部头痛
肩背部大汗,肩背部出汗
指近端指间关节压痛,近端指间关节压痛
5指无力,手指无力
双侧耳红斑,双耳红斑
双侧耳红肿,双耳红肿
双侧耳疼痛,双耳疼痛
5指肿痛,双手指肿痛
四肢肌痛,四肢肌肉痛
膝盖麻木,膝关节麻木
膝麻木,膝关节麻木
骶部红斑,腰骶部红斑
右侧背痛,右背部疼痛
右耳流血,右耳出血
右耳堵闷感,右耳耳闷
右耳闷堵感,右耳耳闷
右耳闷胀,右耳耳闷
右足乏力,右足无力
右脚无力,右足无力
趾肿胀,足趾肿胀
左大腿酸胀,左侧大腿酸胀
左大腿外侧疼痛,左侧大腿外侧疼痛
左肩部不适感,左肩不适感
左侧前臂红斑,左前臂红斑
左眼黑蒙,左眼黑矇
左脚无力,左足无力
背侧麻木,背部麻木
背麻木,背部麻木
后背麻木,背部麻木
后背部压痛,背部压痛
后背压痛,背部压痛
耳出血,耳部出血
耳流血,耳部出血
耳血丝,耳部出血
指间关节胀痛,双手指间关节胀痛
右颈部肿胀,右侧颈部肿胀
右臀疼痛,右侧臀部疼痛
足跟部麻木,足跟麻木
趾间关节肿痛,足趾关节肿痛
趾破溃,足趾破溃
五趾破溃,足趾破溃
趾间破溃,足趾破溃
左背部隐痛,左侧背部隐痛
左后背隐痛,左侧背部隐痛
左大腿红斑,左侧大腿红斑
左大腿肿物,左侧大腿肿物
背出汗,背部出汗
背部大汗,背部出汗
后背出汗,背部出汗
后背大汗,背部出汗
后背盗汗,背部出汗
双侧大腿麻木,大腿麻木
后背及双肩针扎样痛,肩背部刺痛
乳房胀,乳房肿胀
双臀部疼痛,双侧臀部疼痛
双臀疼痛,双侧臀部疼痛
双手背痛,双手背疼痛
手背疼痛,双手背疼痛
指间关节肿胀,双手指间关节肿胀
头刺痛,头部刺痛
